"estabelecimento","total gasto"
"IHC SÃO PAULO HOTELARIA LTDA","18285,64"
"PSEG-PNX ADMINISTRAÇÃO DE HOTEIS E RESTAURANTES LTDA","18099,1"
"HAVANA PALACE HOTEL LTDA",18058
"MENDES HOTEIS TURISMO E ADMINISTRADORA LTDA",17865
"ROWE LTDA","17769,21"
"HOTELARIA ACCOR BRASIL S/A - HOTEL IBIS","17740,77"
"ANGRA INN HOTEL","17597,77"
"PESTANA RIO ALANTICA HOTEL",17430
"ERCR 2007 EMPREENDIMENTOS E PARTICIPAÇÕES S.A","17396,4"
"WTCD ADMINISTRAÇÃO E HOTELARIA LTDA","17197,3"
"EVEREST HOTEIS S.A","17121,55"
"VERDES VALES LAZER HOTEL",17108
"BRISTOL HOTELS","17046,55"
"ORGBRISTOL - ORGANIZAÇÕES BRISTOL LTDA","17006,85"
"CANTO DO SOL HOTÉIS E TURISMO LTDA","16784,25"
"CBB SÃO JOSÉ DOS CAMPOS ADMINISTRAÇÃO HOTELEIRA E COMERCIAL LTDA","16780,05"
"CBB FARIA LIMA ADMINISTRAÇÃO HOTELARIA E COMERCIAL LTDA",16632
"MERCURE NORTEL","16373,1"
"POUSADA DO MONDEGO LTDA","16358,1"
"JOINVILLE EXPRESS EMPREENDIMENTOS LTDA","16123,62"
"HOTEL LUZEIROS","15787,2"
"HOTEL IMPERADOR GALVEZ","15694,31"
"HOTEL MAR ABERTO LTDA",15670
"VISUAL PRAIA HOTEL LTDA.",15600
"MORUBI HOTEIS",15435
"MELIÁ BRASIL ADM HOTELEIRA E COMERCIAL LTDA","15359,16"
"SOLARUIM SÃO PAULO S.A.",15270
"HOTEIS VILLA MOURA LTDA",15100
"HOTELARIA ACCOR BRASIL LTDA","14963,4"
"CLUBE RECREATIVO TUCURUÍ",14889
"HOTEL BELLA ITÁLIA LTDA",14885
"SÃO LUIS INVEST HOTELARIA E TURISMO LTDA","14873,99"
"SOCIEDADE HOTEL DE GOV. VALADARES - REALMINAS",14829
"INTERCONTINENTAL HOTELARIA LTDA","14722,6"
"RESSE TURISMO HOTEIS LTDA","14588,2"
"PESTANA CURITIBA","14558,02"
"CPV-BPF ADMINISTRAÇÃO DE HOTEIS E RESTAURANTES LTDA","14556,15"
"TRANSCONTINENTAL HOTÉIS E TURISMO LTDA","14327,2"
"ATRIO HOTÉIS S/A - SCP PRINZ","13810,06"
"FLORESTA AMAZÔNICA HOTEL E TURISMO LTDA",13790
"QUINTELA TORRES CONSTRUTORA E INCOPORADORA LTDA","13788,6"
"BASTOS HOTÉIS E TURISMO LTDA",13723
"ITUPEVA HOTEIS CONVENÇOES E EVENTOS LTDA","13643,46"
"TOWER FRANCA HOTEL",13629
"RIVERSIDE PARK HOTEL LTDA","13585,2"
"CATUSSABA RESORT HOTEL LTDA",13500
"PLANTRAVEL PLANEJAMENTO VIAGENS E TURISMO LTDA","13494,6"
"HOTELARIA ACCOR BRASIL S.A - PARTHENON LINDACAP","13458,74"
"HOTEL ACALANTO LTDA",13325
"J.B. PALACE HOTEL LTDA",13244
"ALPHALINS TURISMO LTDA - BLUE TREE PARK LINS",13200
"DEVILLE HOTEIS E TURISMO LTDA","13051,35"
"MELONGENA PARTICIPAÇÕES LTDA",13020
