"estabelecimento","total gasto"
"PANIFICADORA A ESSENCIAL LTDA EPP",4582
"PADARIA DA BARRA LTDA","4556,5"
"PLANET PÃO LTDA","4548,1"
"M M CAVALCANTE COMERCIAL","4510,4"
"LEMES & RICARDO LTDA - ME",4495
"S.F. ALVES PINTO",4453
"COMÉRCIO E DISTRIBUIÇÃO SALES LTDA","4430,97"
"J.B. PALACE HOTEL LTDA","4430,25"
"FEIRA PALACE HOTEL",4390
"D.S.M. RESTAURANTE E CACHAÇARIA LTDA","4389,08"
"GRA  RESTAURANTE COMERCIO E IMPORTAÇÃO LTDA",4379
"PANETINE PANIFICADORA E DELICATESSEN LTDA - EPP",4344
"HOTEL MAR ABERTO LTDA","4306,1"
"TRIANON RESTAURANTE SCOTH BAR",4265
"A L RIBEIRO FILHO",4246
"VERDES VALES LAZER HOTEL","4244,8"
"CARREFUR COMÉRCIO E INDÚSTRIA","4218,96"
"S. PINHEIRO JUNIOR",4140
"TROPICAL HOTELARIA LTDA","4114,05"
"GERALDO PAIVA DOS SANTOS JUNIOR","4097,23"
"COSTELARIA CARRO DE BOI DE CAMPINAS LTDA",4095
"JK RESENDE COMÉRCIO DE DERIVADOS DE PETRÓLEO LTDA.","4070,1"
"PIZZARIA AGUA VIVA LTDA -MME",4056
"SERV-EXPRESS CONVENIENCIA LTDA",4045
"QUATI FRUTI - MARIA ANJOS SOARES - MERCADINHO","4037,74"
"CLIO AERO MEAL LTDA",4018
"I R  DA SILVA VEBER-ME","3995,9"
"COLHER DE PAU REST. LTDA ME",3984
"REBECA MEDEIROS OLIVEIRA DA SILVA","3980,5"
"MATIAS E MONTEIRO LTDA","3947,6"
"LUDMILLA PACHECO DE SOUZA GONZAGA JAIME","3941,84"
"M C MORAIS MEE (MERCEARIA PIAUI)",3905
"M.P.A. HOTELARIA E TURISMO LTDA",3872
"ESPECIARYA INDUSTRIA E COMERCIO LTDA","3869,95"
"LANCHERIA E RESTAURANTE TAYLOR TAYNA LTDA",3858
"ASPARAGUS ALIMENTOS","3849,5"
"WMS SUPERMERCADO DO BRASIL LTDA","3796,59"
"BRANCA DE CABO FRIO CONFEITARIA LTDA",3796
"SUPERMERCADO NOVA ESTRELA LTDA","3766,56"
"ROBERTA JULIANE M. S. A. DE OLIVEIRA - CHURRASCARIA",3735
"FRANCISCA BENEDITO DE OLIVEIRA",3699
