"estabelecimento","total gasto"
"GREGÓRIO M. COM. SERV. REST. EVENTOS LTDA. -ME/MEE",132
"GIRAFFA´S","130,8"
"VISUAL PRAIA HOTEL LTDA.",128
"ILHA POINT SUPER LANCHES LTDA","127,8"
"MABLAS COMERCIAL LTDA","127,5"
"PÃO DA HORA COM. E IND. DE ALIMENTOS LTDA","127,3"
"EMPREENDIMENTOS CASTRO LTDA",126
"SAVASSI BAR E RESTAURANTE LTDA",126
"EDUARDO SILVA SANTOS BOCA DO RIO",125
"MERCEARIA DEVA E DANI LTDA",123
"PANIFICADORA ROMA BRASILEIRA LTDA","121,8"
"ANTONIOS SAVIATO E AMON LTDA - ME",120
"CATARINA RODRIGUES GOMES LIMA",120
"FINE LINEA PÃES E DOCES LTDA",120
"JUSSARA ADRIANA DE OLIVEIRA",120
"POUSADA MORRO ENCANTADO",120
"RESTAURANTE D´ITÁLIA",120
"RESTAURANTE O PICUI LTDA",120
"SKINA FRIOS ALUIZIO BARBOSA DE LIMA","118,5"
"RESTAURANTE AVELINOS TOMBO LTDA - EPP","114,1"
"STAR FOOD SUPER LANCHES LTDA","113,4"
"ILHONE DE FÁTIMA WAGNER E CIA LTDA",112
"MOISES ALBUQUERQUE NOGUEIRA",112
"RESTAURANTE TREVO DA VIA VERDE LTDA - ME",112
"MELIÁ BRASIL ADM. HOTELEIRA E COMERCIAL LTDA","111,05"
"RESTAURANTE NATURAL CACHOEIRA TROPICAL",110
"RIVER PARK CONVENÇÕES E HOTELARIA LTDA.",110
"BAR RESTAURANTE PIZZARIA GAROTA DE COPA LTDA",108
"NAZITA E ISMAR LTDA",108
"LANCHONETE GUARARAPES LTDA","102,6"
"CHURRASCARIA CHIMARISCO LTDA","100,8"
"CBB FARIA LIMA ADMINISTRAÇÃO HOTELARIA E COMERCIAL LTDA",100
"CENTER VIA 304",98
"PARK TOWER HOTEL E CONVEÇÕES LTDA",98
"STAFF ADMIN LTDA - UBERABA APART HOTEL",96
"HB EXPRESS COMÉRCIO DE ALIMENTOS LTDA",90
"M.D.B. DA CRUZ - ME",90
"CREMONINI COMÉRCIO DE PRODUTOS ALIMENTÍCIOS LTDA.",88
"PANIFICADORA THALY",88
"EXCELÊNCIA DO PÃO LTDA",86
"SLEEP INN",86
"PANELA DE PEDRA","85,47"
"PANATURA","85,25"
"HOTEL E RESTAURANTE BENFICA",85
"JOSEFA MARIA DE SANTANA MONTE",85
"SAINT MORITZ HOT. ACCOR BRASIL S.A.","84,81"
"R & C EMPREENDIMENTOS ALIMENTICIOS LTDA - EPP","84,5"
"MARISA RISSOTTO BANALETTI",84
"PANIFICADORA PÃO DO CAMBUÍ LTDA","81,6"
"PRAIA DO SABUGO BAR LTDA - ME","81,4"
"CASA DOS GRELHADOS RESTAURANTE LTDA","80,85"
"JOSÉ IVALDO DA SILVA",80
"CHR","79,02"
"BAR E RESTAURANTE SOLMAR LTDA",79
"TALHER BRASIL","77,59"
"PANIFICADORA VASCONCELOS LTDA","74,25"
"POUSADA PONTAL DOS ANJOS - JOÃO GERVÁSIO PAIXÃO -ME",74
"WTCD ADMINISTRAÇÃO E HOTELARIA LTDA",73
"JORGE LUIS NOLASCO RIBEIRO ACONHEGO",72
"PER TUTTI PIZZARIA LTDA",72
"SUCESSO COMERCIO DE ALIMENTOS LTDA",72
"RESTAURANTE S.B.C DAMASCO LTDA.","71,5"
"EVEREST HOTEIS S.A",70
"JOSELY FERREIRA FERNANDES ME","68,2"
"COLINAS RESTAURANTE","66,6"
"AQUARIUM RESTAURANTE LTDA","63,8"
"BLUE TREE HOTEL","60,7"
"COSTA E GAGLIANO LANCHONETE LTDA",60
"HOTEL E CHURRASCARIA CAIÇARA",60
"J. V. MAIA",60
"JADINA DONDOSSSOLA DE CARLI",60
"ALGAS COMERCIAL DE ALIMENTOS LTDA","58,2"
"PRODUTOS HORTIGRANGEIROS RIGON LTDA","57,52"
"RESTAURANTE BH MINAS LTDA","56,47"
"PRATI",56
"OUROTUR ORGANIZAÇÃO LTDA","55,44"
"CAFE & CIA",55
"RAÇÕES BIG WORLD LTDA",55
"MARIA DE LOURDES","54,4"
"CAFÉ E CIA",54
"GENDILSON NILO DE OLIVEIRA",54
"LOURIVAL BUFFET",54
"ANGELA MARIA PEREIRA DE OLIVEIRA ME","52,5"
"REYNALDO V DE RESENDE",52
"BAR E LANCHES CASTOR & MARTINS LTDA - ME",50
"DANIELA BASTOS DI DOMENICO","48,9"
"MARSEILLE PAES E DOCES LTDA.","48,18"
"SUPERMERCADO MENDES","48,04"
"KEL PANIFICADORA E LANCHONETE LTDA",48
"COSTELÃO KATHEDRAL LTDA",46
"LEÃO E GUSMÃO LTDA","45,5"
"BARBARA PORRES NASCIMENTO BERTOCELLO","45,2"
"RAIMUNDA IRENE ALBUQUERQUE","44,55"
"ZERO GRAU",44
"PETIT RIBEIRÃO COMÉRCIO DE ALIMENTOS LTDA","43,8"
"GERMANS DISTRIBUIDORA DE COMESTÍVEIS LTDA","43,29"
"ORG. JUNIOR E JOABE SERTÃO FRIOS",42
"RIVER PALACE HOTEL LTDA","41,3"
"SANCHES E MATTOS COMESTIVEIS LTDA.","40,08"
"ATHANASE SARANTOPOULOS HOTEIS E TURISMO",40
"CABAÇA DE MEL ALIMENTOS COMERCIO LTDA-ME",40
"MARIA DE LOURDES GUSMAO SIQUEIRA",40
"FRANCISCO BATISTA LOPES FREIRE SOBRAL CE","39,6"
"HOTUCAFRE-HOTEIS E TURISMO CALADO DE FREITAS LTDA",39
"PADARIA E CONFEITARIA ALCANTARA LTDA - EPP",39
"PRATAS PARK HOTEL LTDA.",38
"RITA CLARA BATISTA DE SOUZA ME","37,5"
"TAC SERVIÇOS DE ALIMENTAÇÃO LTDA","37,4"
"LANCHES BH LTDA","37,2"
"PORTA A PORTA","36,5"
"SÃO PAULO COMIDA TIPICA","35,81"
"REST E PIZZARIA MUSIQUE LTDA - ME - METROPOLIS","34,87"
"ANA LUCIA LISBOA DOS SANTOS",34
"RESTAURANTE E LANCHONETE K DELÍCIAS LTDA",33
"FAST BURGER COMERCIO DE ALIMENTOS LTDA",32
"HORTIGIL HORTIFRUTI S/A","31,25"
"FLAVIO MAURICIO NEVES",30
"JOSÉ LEONARDO DOMINGOS COUTO",30
"PARK TOWER COMERCIO DE ALIMENTOS LTDA. - EPP",30
"QUITUNGO COMÉRCIO E SERVIÇO DE BAR E RESTARANTE LTDA",30
"LANCHONETE LUAR DA FRANCA LTDA","29,5"
"J. LIRA JUCA",29
"JOAO PAULO HERMAN PEREIRA GHIJS",29
"WAGNER RIBEIRO FEITOSA","28,5"
"COMERCIAL DE ALIMENTOS TR LTDA - ME",26
"FEIJÃO VERDE CHURRASCARIA LTDA",26
"MARIA LÚCIA GONÇALVES LUIZ - ME",24
"PIZZARIA TENTATIVA LTDA",24
"AFONSO E GANNARI LTDA","23,6"
"ARAÚJO & RODRIGUES LTDA","23,3"
"SERRANA EMPREENDIMENTOS E PARTICIPAÇÕES LTDA","22,9"
"IRMÃOS BRETAS FILHOS E CIA LTDA","22,74"
"JOSYANE LIMA DE ASSIS SANTOS","20,9"
"ADM RESTAURANTE LTDA.",20
"CANTINA DO GIOVANNI BRUNO LTDA",20
"JOSEFA VANIA MEIRA DE FREITAS",20
"JURUÁ COMBUSTIVEIS E NAVEGAÇÃO LTDA",20
"L.S.B.GUEDES",20
"LESSA HOTEL LTDA",20
"LILIAN LIZ LYERE NOGUEIRA ME",20
"POSADAS SUDAMERICA LTDA- CESAR BUSINESS",20
"TANCREDO JOSE DOS SANTOS MACEDO JUNIOR ME",20
"BOMBOCADO BUFFET LIMITADA","18,8"
"SENA PARK POSTO LTDA","18,8"
"JOAO FREIRE DE SA SUPERMERCADOS LTDA","17,3"
"BAKANINHA BAR E RESTAURANTE LTDA - ME",17
"SRª SALADA COMESTÍVEIS LTDA","16,7"
"MERCANTIL RODRIGUES LTDA","16,65"
"SUPERMERCADO PAGUE MENOS","16,3"
"MARLIM COMERCIAL LTDA","15,16"
"CASA MAYO DE COMESTIVEIS LTDA",15
"LANCHONETE PARADA IBIRAÇU LTDA",15
"NIVANEIDE ROSA DE LIMA TELES",15
"CHURRASCARIA E CHOPERIA GAÚCHA LTDA","14,4"
"BAR E RESTAURANTE O TIMBAU","14,3"
"WELINGTON ALVES DE CARVALHO","13,6"
"FARMACIA NOSSA SENHORA SANTANA","13,5"
"SUPERMERCADO SEVIA LTDA","12,6"
"CHURRASCARIA TERTULIA LTDA","12,5"
"AUGUSTO CESAR FARIAS DE OLIVEIRA",12
"G MOTTA & CIA LTDA",12
"GREGÓRIO BEZERRA DE ALMEIDA FILHO",12
"NATUREZA EMPREENDIMENTOS HOTELEIROS LTDA ME",12
"COMPAHIA BRASILEIRA DE DISTRIBUIÇÃO  - PÃO DE AÇUCAR","11,56"
"PADARIA E LANCHONETE CENTRAL","10,2"
"LOURDES SUSAN OLIVEIRA ME",10
"MARIA DE LOURDES FRAPORTI",10
"NOBRE PALACE HOTEL LTDA",10
"POSTO DANGELIS LTDA",10
"REZENDE AUTO PEÇAS LTDA  - RESTAURANTE E LANCHONETE",10
"MERCANTIL ALIMENTOS COM. IMPORT. LTDA","9,89"
"AUTO POSTO NOVAES LTDA",3
