"UF","Cidade","Data","Dados da apreensão","Tipo penal"
"SP","Cruzeiro",04/10/2017,"PÁSSAROS ANILHADOS_x000D_
5 TRINCA-FERRO_x000D_

2 CANÁRIO DA TERRA_x000D_

2 COLEIRINHA;PÁSSAROS ANILHADOS_x000D_
5 TRINCA-FERRO_x000D_

2 CANÁRIO DA TERRA_x000D_

2 COLEIRINHA","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"SP","Cruzeiro",05/10/2017,"18 (DEZOITO) PÁSSAROS, TODOS ANILHADOS, CADA UM EM UMA GAIOLA.;18 (DEZOITO) PÁSSAROS, TODOS ANILHADOS, CADA UM EM UMA GAIOLA.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"SP","São José dos Campos",09/10/2017,"CINCO (05) AVES ""TRINCA-FERRO"";CINCO (05) AVES ""TRINCA-FERRO"";CINCO (05) AVES ""TRINCA-FERRO"";DOZE (12) AVES, SENDO 09 ""TRINCA-FERRO"", 02 ""AZULÕES"", E 01 ""PINTASSILGO"".;DOZE (12) AVES, SENDO 09 ""TRINCA-FERRO"", 02 ""AZULÕES"", E 01 ""PINTASSILGO"".;DOZE (12) AVES, SENDO 09 ""TRINCA-FERRO"", 02 ""AZULÕES"", E 01 ""PINTASSILGO"".","Art.12, Lei 10826/2003;Art.12, Lei 10826/2003;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.52, Lei 9605/1998;Art.52, Lei 9605/1998"
"SP","Cruzeiro",10/10/2017,"- TRINCA-FERRO ANILHADO COM GAIOLA_x000D_
- COLEIRINHA ANILHADO COM GAIOLA;- TRINCA-FERRO ANILHADO COM GAIOLA_x000D_
- COLEIRINHA ANILHADO COM GAIOLA","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"AM","Manaus",14/10/2017,"3 MALAS DE DIVERSAS ESPÉCIES DE PEIXES ORNAMENTAIS, APREENDI COM JHON LUCAS BATALHA COELHO E LEANDRO MARTINS DOS SANTOS.;3 MALAS DE DIVERSAS ESPÉCIES DE PEIXES ORNAMENTAIS, APREENDI COM JHON LUCAS BATALHA COELHO E LEANDRO MARTINS DOS SANTOS.;3 MALAS DE DIVERSAS ESPÉCIES DE PEIXES ORNAMENTAIS, APREENDI COM JHON LUCAS BATALHA COELHO E LEANDRO MARTINS DOS SANTOS.;3 MALAS DE DIVERSAS ESPÉCIES DE PEIXES ORNAMENTAIS, APREENDI COM JHON LUCAS BATALHA COELHO E LEANDRO MARTINS DOS SANTOS.","Art.14,II, Código Penal;Art.334-A,II, Código Penal;Art.334-A,§3°, Código Penal;Art.34,§UNICO°,III, Lei 9605/1998"
"SP","São José dos Campos",18/10/2017,"CINCO PASSARIFORMES APARENTEMENTE TODOS DA FAUNA SILVESTRE BRASILEIRA COM SUSPEITA DE ADULTERAÇÃO NAS ANILHAS.;CINCO PASSARIFORMES APARENTEMENTE TODOS DA FAUNA SILVESTRE BRASILEIRA COM SUSPEITA DE ADULTERAÇÃO NAS ANILHAS.;QUARENTA E TRÊS PASSARIFORMES APARENTEMENTE TODOS DA FAUNA SILVESTRE BRASILEIRA CONTENDO SUSPEITAS DE ADULTERAÇÃO NAS ANILHAS.;QUARENTA E TRÊS PASSARIFORMES APARENTEMENTE TODOS DA FAUNA SILVESTRE BRASILEIRA CONTENDO SUSPEITAS DE ADULTERAÇÃO NAS ANILHAS.","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","Cruzeiro",24/10/2017,"COM AS RESPECTIVAS ANILHAS;COM AS RESPECTIVAS ANILHAS","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"AC","Cruzeiro do Sul",24/10/2017,"01 JABUTI","Art.29, Lei 9605/1998"
"MG","Governador Valadares",24/10/2017,"AZULÃO, ANILHA IBAMA OA 2,8 472252.;AZULÃO, ANILHA IBAMA OA 2,8 472252.;AZULÃO, ANILHA IBAMA OA 3,5 184374.;AZULÃO, ANILHA IBAMA OA 3,5 184374.;AZULÃO, ANILLHA IBAMA OA 2,8 380943.;AZULÃO, ANILLHA IBAMA OA 2,8 380943.;CANÁRIO-DA-TERRA, ANILHA IBAMA OA 2,8 320375.;CANÁRIO-DA-TERRA, ANILHA IBAMA OA 2,8 320375.;CANÁRIO-DA-TERRA, ANILHA IBAMA OA 2,8 449842.;CANÁRIO-DA-TERRA, ANILHA IBAMA OA 2,8 449842.;PAPAGAIO CHAUÁ (AMAZONA RODOCORITA).;PAPAGAIO CHAUÁ (AMAZONA RODOCORITA).;PAPAGAIO-DO-PEITO-ROXO, (AMAZONA VINACEA), ESPÉCIE AMEAÇADA DE EXTINÇÃO, EM CONDIÇÃO DE CATIVEIRO IRREGULAR.;PAPAGAIO-DO-PEITO-ROXO, (AMAZONA VINACEA), ESPÉCIE AMEAÇADA DE EXTINÇÃO, EM CONDIÇÃO DE CATIVEIRO IRREGULAR.;PICHOCHÓ, ANILHA SISPASS 2,6 MGA 014168.;PICHOCHÓ, ANILHA SISPASS 2,6 MGA 014168.;PÁSSARO PRETO, ANILHA SISPASS 3,5 MGA 116356.;PÁSSARO PRETO, ANILHA SISPASS 3,5 MGA 116356.;SABIÁ LARANJEIRA, ANILHA 2695961065.;SABIÁ LARANJEIRA, ANILHA 2695961065.;SABIÁ LARANJEIRA, ANILHA IBAMA OA 4,0 071946.;SABIÁ LARANJEIRA, ANILHA IBAMA OA 4,0 071946.;SABIÁ LARANJEIRA, SEM ANILHA.;SABIÁ LARANJEIRA, SEM ANILHA.;SABIÁ, ANILHA IBAMA OA 4,0 049671.;SABIÁ, ANILHA IBAMA OA 4,0 049671.;SABIÁ-LARANJEIRA, ANILHA IBAMA OA 4,0 106391.;SABIÁ-LARANJEIRA, ANILHA IBAMA OA 4,0 106391.;TICO TICO, ANILHA OA 2,8 280231;TICO TICO, ANILHA OA 2,8 280231;TRICA-FERRO, ANILHA IBAMA  OA 3,5 391233.;TRICA-FERRO, ANILHA IBAMA  OA 3,5 391233.;TRICA-FERRO, ANILHA IBAMA 03-04 3,5 555577.;TRICA-FERRO, ANILHA IBAMA 03-04 3,5 555577.;TRINCA FERRO, ANILHA SISPASS 3,5 MGA 050246.;TRINCA FERRO, ANILHA SISPASS 3,5 MGA 050246.;TRINCA-FERRO, ANILHA IBAMA 04-05 3,5 080166.;TRINCA-FERRO, ANILHA IBAMA 04-05 3,5 080166.;TRINCA-FERRO, ANILHA IBAMA 05-06 3,5 126429.;TRINCA-FERRO, ANILHA IBAMA 05-06 3,5 126429.;TRINCA-FERRO, ANILHA IBAMA 05-06 3,5 127711.;TRINCA-FERRO, ANILHA IBAMA 05-06 3,5 127711.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 ... CÓDIGO INELEGÍVEL.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 ... CÓDIGO INELEGÍVEL.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 135359.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 135359.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 171316.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 171316.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 416557.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 416557.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 416665.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 416665.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 432104.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 432104.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 434526.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 434526.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 452692.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 452692.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 455686.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 455686.;TRINCA-FERRO, ANILHA IBAMA OA 3,5416663.;TRINCA-FERRO, ANILHA IBAMA OA 3,5416663.;TRINCA-FERRO, ANILHA SISPASS 3,5 MGA 120225;TRINCA-FERRO, ANILHA SISPASS 3,5 MGA 120225;TRINCA-FERRO, ANILHAS IBAMA OA 3,5 417694.;TRINCA-FERRO, ANILHAS IBAMA OA 3,5 417694.","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal"
"MG","Governador Valadares",25/10/2017,"TRINCA-FERRO, ANILHA IBAMA 03-04 3,5 050703.;TRINCA-FERRO, ANILHA IBAMA 03-04 3,5 050703.;TRINCA-FERRO, ANILHA IBAMA 0304 3,5 050762.;TRINCA-FERRO, ANILHA IBAMA 0304 3,5 050762.;TRINCA-FERRO, ANILHA IBAMA 3,5 184375.;TRINCA-FERRO, ANILHA IBAMA 3,5 184375.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 303801.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 303801.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 392377.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 392377.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 392437.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 392437.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 434522.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 434522.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 594170.;TRINCA-FERRO, ANILHA IBAMA OA 3,5 594170.;TRINCA-FERRO, ANILHA SISPASS 3,5 MGA 043933.;TRINCA-FERRO, ANILHA SISPASS 3,5 MGA 043933.","Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.29, Lei 9605/1998;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal;Art.296,§1°,1, Código Penal"
"SP","São José dos Campos",26/10/2017,"05 (CINCO) AVES, DA ESPÉCIE TRINCA-FERRO VERDADEIRO, COM ANILHAS: ""IBAMA0506 3,5 112179"", ""IBAMA 0405 3,5 109235"", ""IBAMA 0506 3,5 156651"", ""IBAMA AO 3,5 557806"", ""IBAMA 0102 26 SP 3,5 1983"", EM TRÊS GAIOLAS.;05 (CINCO) AVES, DA ESPÉCIE TRINCA-FERRO VERDADEIRO, COM ANILHAS: ""IBAMA0506 3,5 112179"", ""IBAMA 0405 3,5 109235"", ""IBAMA 0506 3,5 156651"", ""IBAMA AO 3,5 557806"", ""IBAMA 0102 26 SP 3,5 1983"", EM TRÊS GAIOLAS.","Art.29, Lei 9605/1998;Art.296,§1°,II, Código Penal"
"MA","São Luís",26/10/2017,"01 (UM) ESPÉCIME DE ANIMAL SILVESTRE (PAPAGAIO)","Art.29, Lei 9605/1998"
"RS","Santo Ângelo",27/10/2017,"01 (UM) QUADRO COLORIDO, ETIQUETADO COM A EXPRESSÃO ""LEPIDOPTERA""  MEDINDO APROXIMADAMENTE 54 CM DE ALTURA, POR 40 CM DE BASE, CONTENDO, NO FUNDO DA FACE TAMPADA COM  DE VIDRO TRANSPARENTE,  APROXIMADAMENTE 36 INSETOS MORTOS, PRESOS POR ALFINETES.","Art.29, Lei 9605/1998"
"PR","Foz do Iguaçu",04/11/2017,"DOIS FILHOTES DE PÁSSARO (APARENTEMENTE PAPAGAIOS)","Art.29, Lei 9605/1998"
"SP","São José dos Campos",05/11/2017,"QUATORZE PASSARIFORMES DA FAUNA SILVESTRE, ALGUNS COM ANILHAS COM SUSPEITA DE FALSIFICAÇÃO, TODOS EM SUAS RESPECTIVAS GAIOLAS.;QUATORZE PASSARIFORMES DA FAUNA SILVESTRE, ALGUNS COM ANILHAS COM SUSPEITA DE FALSIFICAÇÃO, TODOS EM SUAS RESPECTIVAS GAIOLAS.","Art.29,§3°, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"SP","Cruzeiro",08/11/2017,"PÁSSAROS ANILHADOS;PÁSSAROS ANILHADOS","Art.29,§1°,LLL, Lei 9605/1998;Art.296,§1°,LLL, Código Penal"
"PR","Paranaguá",09/11/2017,"09 (NOVE) CURIÓS (ORYZOBORUS ANGOLENSIS);09 (NOVE) CURIÓS (ORYZOBORUS ANGOLENSIS);09 (NOVE) CURIÓS (ORYZOBORUS ANGOLENSIS);09 (NOVE) CURIÓS (ORYZOBORUS ANGOLENSIS)","Art.14, Lei 10826/2003;Art.29,III, Lei 9605/1998;Art.29,§4°,IEV, Lei 9605/1998;Art.40,§1 E 2°, Lei 9605/1998"
"SP","São José dos Campos",09/11/2017,"DOIS PASSERIFORMES CONHECIDOS VULGARMENTE  POR TRINCA-FERRO, SENDO QUE UM NÃO POSSUI ANILHA E O OUTRO ENCONTRA-SE COM ANILHA ROMPIDA Nº SISPASS 3,5 SPA 046479;DOIS PASSERIFORMES CONHECIDOS VULGARMENTE  POR TRINCA-FERRO, SENDO QUE UM NÃO POSSUI ANILHA E O OUTRO ENCONTRA-SE COM ANILHA ROMPIDA Nº SISPASS 3,5 SPA 046479;DOIS PASSERIFORMES VULGARMENTE CONHECIDOS POR BIGODINHO, AMBOS MACHOS, SEM ANILHAS;DOIS PASSERIFORMES VULGARMENTE CONHECIDOS POR BIGODINHO, AMBOS MACHOS, SEM ANILHAS;TRÊS PASSERIFORMES CONHECIDOS COMO TRINCA FERRO, SENDO QUE UM DELES ENCONTRA-SE ANILHADO (ANILHA SISPASS SPA 3,5 046891);TRÊS PASSERIFORMES CONHECIDOS COMO TRINCA FERRO, SENDO QUE UM DELES ENCONTRA-SE ANILHADO (ANILHA SISPASS SPA 3,5 046891);TRÊS PASSERIFORMES CONHECIDOS VULGARMENTE COMO CANÁRIO DA TERRA, OS TRÊS PORTANDO AS ANILHAS SISPASS 2.8 SPA 049472 ; SISPASS 2.8 SPA 049464 E PET 3,0 62998;TRÊS PASSERIFORMES CONHECIDOS VULGARMENTE COMO CANÁRIO DA TERRA, OS TRÊS PORTANDO AS ANILHAS SISPASS 2.8 SPA 049472 ; SISPASS 2.8 SPA 049464 E PET 3,0 62998;TRÊS PASSERIFORMES CONHECIDOS VULGARMENTE POR PINTASSILGO, SENDO QUE DOIS PORTAM ANILHAS DE NºS IBAMA OA 2,4 077727 E SISPASS 2.4 SPA 008277;TRÊS PASSERIFORMES CONHECIDOS VULGARMENTE POR PINTASSILGO, SENDO QUE DOIS PORTAM ANILHAS DE NºS IBAMA OA 2,4 077727 E SISPASS 2.4 SPA 008277;UM PASSERIFORME CONHECIDO POR CARDEAL;UM PASSERIFORME CONHECIDO POR CARDEAL;UM PASSERIFORME VULGARMENTE CONHECIDO POR PIXOXÓ, SEM ANILHA;UM PASSERIFORME VULGARMENTE CONHECIDO POR PIXOXÓ, SEM ANILHA","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","Cruzeiro",13/11/2017,"DEZ PÁSSAROS, ESTANDO CINCO ANILHADOS;DEZ PÁSSAROS, ESTANDO CINCO ANILHADOS;DEZ PÁSSAROS, ESTANDO CINCO ANILHADOS;DOIS OVOS DE TRINCA-FERRO;DOIS OVOS DE TRINCA-FERRO;DOIS OVOS DE TRINCA-FERRO;NOVE PÁSSAROS, DOS QUAIS SETE ANILHADOS;NOVE PÁSSAROS, DOS QUAIS SETE ANILHADOS;SETE PÁSSAROS SEDO QUE 3 ESTÃO ANILHADOS;SETE PÁSSAROS SEDO QUE 3 ESTÃO ANILHADOS","Art.28, Lei 11343/2006;Art.28, Lei 11343/2006;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"AP","Macapá",14/11/2017,"QUATRO AVES DE PEQUENO PORTE, ACONDICIONADAS EM SUAS RESPECTIVAS GAIOLAS (DE ESPÉCIE NÃO IDENTIFICADA ATÉ ENTÃO PELA EQUIPE POLICIAL).;QUATRO AVES DE PEQUENO PORTE, ACONDICIONADAS EM SUAS RESPECTIVAS GAIOLAS (DE ESPÉCIE NÃO IDENTIFICADA ATÉ ENTÃO PELA EQUIPE POLICIAL).;QUATRO AVES DE PEQUENO PORTE, ACONDICIONADAS EM SUAS RESPECTIVAS GAIOLAS (DE ESPÉCIE NÃO IDENTIFICADA ATÉ ENTÃO PELA EQUIPE POLICIAL).","Art.12, Lei 10826/2003;Art.29,III, Lei 9605/1998;Art.69, Lei 9605/1998"
"SP","Sorocaba",16/11/2017,"MACACOS PREGO;MACACOS PREGO","Art.29,§1°,III, Lei 9605/1998;Art.29,§4°,I, Lei 9605/1998"
"SP","São Paulo",17/11/2017,"PÁSSAROS SILVESTRES DETALHADOS CONFORME FICHA CRAS-PET 21.794.;PÁSSAROS SILVESTRES DETALHADOS CONFORME FICHA CRAS-PET 21.794.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal"
"SP","São José dos Campos",22/11/2017,"QUATRO PASSERIFORMES, ACONDICIONADOS EM QUATRO GAIOLAS, APARENTEMENTE ""TRINCA-FERROS"", COM ANILHAS COM SUSPEITA DE ADULTERAÇÃO, SENDO QUE UM DOS PASSERIFORMES JÁ CHEGOU NESTA DESCENTRALIZADA MORTO.;QUATRO PASSERIFORMES, ACONDICIONADOS EM QUATRO GAIOLAS, APARENTEMENTE ""TRINCA-FERROS"", COM ANILHAS COM SUSPEITA DE ADULTERAÇÃO, SENDO QUE UM DOS PASSERIFORMES JÁ CHEGOU NESTA DESCENTRALIZADA MORTO.;VINTE PASSERIFORMES, SENDO APENAS DOIS ANILHADOS, AS QUAIS APRESENTAM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADOS EM DEZENOVE GAIOLAS.;VINTE PASSERIFORMES, SENDO APENAS DOIS ANILHADOS, AS QUAIS APRESENTAM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADOS EM DEZENOVE GAIOLAS.","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal;Art.296,§1°,I, Código Penal"
"SP","Cruzeiro",23/11/2017,"QUATRO (04) AVES, EM SUAS RESPECTIVAS GAIOLAS, TODAS PORTANDO ANILHAS;QUATRO (04) AVES, EM SUAS RESPECTIVAS GAIOLAS, TODAS PORTANDO ANILHAS","Art.29,§1°,III, Lei 9605/1998;Art.293,§1°,III, Código Penal"
"SP","São José dos Campos",23/11/2017,"CINCO PASSERIFORMES, SENDO DOIS ADULTOS, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, COM ANILHA COM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADOS EM DUAS GAIOLAS, E  TRÊS FILHOTES, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, SEM ANILHA.;CINCO PASSERIFORMES, SENDO DOIS ADULTOS, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, COM ANILHA COM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADOS EM DUAS GAIOLAS, E  TRÊS FILHOTES, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, SEM ANILHA.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal"
"RJ","Rio de Janeiro",24/11/2017,"UM PAPAGUAIO, APARENTEMENTE DA ESPÉCIE ""AMAZONA AESTIVA"".","Art.29, Lei 9605/1998"
"SP","São José dos Campos",24/11/2017,"CINCO PASSERIFORMES CADA UM EM SUAS RESPECTIVAS GAIOLAS, SENDO QUE TRÊS, APARENTEMENTE, SÃO DA ESPÉCIE TRINCA FERRO E ESTÃO COM ANILHAS COM SUSPEITA DE ADULTERAÇÃO E OUTROS DOIS, APARENTEMENTE, DA ESPÉCIE COLEIRINHO E SE ENCONTRAM SEM ANILHA.","Art.296, Código Penal"
"SP","Cruzeiro",27/11/2017,"03 (TRÊS) PÁSSAROS, SEM ANILHAS, COM SUAS RESPECTIVAS GAIOLAS.;03 (TRÊS) PÁSSAROS, SEM ANILHAS, COM SUAS RESPECTIVAS GAIOLAS.;36 (TRINTA E SEIS) PÁSSAROS, DISTRIBUIOS EM 35 GAIOLAS, SENDO TODOS ANILHADOS;36 (TRINTA E SEIS) PÁSSAROS, DISTRIBUIOS EM 35 GAIOLAS, SENDO TODOS ANILHADOS","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.290,§1°,III, Código Penal;Art.290,§1°,III, Código Penal"
"SP","Cruzeiro",01/12/2017,"COLEIRINHAPAPA CAPIM SEM ANILHA;COLEIRINHAPAPA CAPIM SEM ANILHA;TRINCA-FERROTEMPERA-VIOLA NÃO ANILHADOS_x000D_
;TRINCA-FERROTEMPERA-VIOLA NÃO ANILHADOS_x000D_
;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA  FEUMG 13940 98, A QUAL ESTA AMARRADA À GAIOLA, POIS SE DESPRENDEU DA AVE.;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA  FEUMG 13940 98, A QUAL ESTA AMARRADA À GAIOLA, POIS SE DESPRENDEU DA AVE.;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA FEOMG-6552-9495_x000D_
;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA FEOMG-6552-9495_x000D_
;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA IBAMA 0405 3,5 07601;TRINCA-FERROTEMPERA-VIOLA, COM ANILHA IBAMA 0405 3,5 07601","Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
"SP","São José dos Campos",02/12/2017,"UM PASSERIFORME, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, COM ANILHA COM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADO EM UMA GAIOLA.;UM PASSERIFORME, APARENTEMENTE DA ESPÉCIE TRINCA-FERRO, COM ANILHA COM SUSPEITA DE ADULTERAÇÃO, ACONDICIONADO EM UMA GAIOLA.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal"
"SP","Cruzeiro",05/12/2017,"2 PÁSSAROS ANILHADOS ;2 PÁSSAROS ANILHADOS ;2 PÁSSAROS ANILHADOS ;2 PÁSSAROS ANILHADOS ;8 PASSAROS, ESTANDO 7 COM ANILHAS: E 1 SEM. NA POSSE DE DOMINGOS FERREIRA PINTO NETO._x000D_
N° DAS ANILHAS:_x000D_
1) SISPASS 3,5 MGA 091574_x000D_
2) SISPASS 3,5 SPA 053676_x000D_
3) SISPASS 3,5 SPA 046994_x000D_
4) IABAMA OA 3,5 182419_x000D_
5) SISPASS 3,5 MGA 049365_x000D_
6) IABAMA OA 3,5 487855_x000D_
7) IABAMA OA 2,2 236518;8 PASSAROS, ESTANDO 7 COM ANILHAS: E 1 SEM. NA POSSE DE DOMINGOS FERREIRA PINTO NETO._x000D_
N° DAS ANILHAS:_x000D_
1) SISPASS 3,5 MGA 091574_x000D_
2) SISPASS 3,5 SPA 053676_x000D_
3) SISPASS 3,5 SPA 046994_x000D_
4) IABAMA OA 3,5 182419_x000D_
5) SISPASS 3,5 MGA 049365_x000D_
6) IABAMA OA 3,5 487855_x000D_
7) IABAMA OA 2,2 236518;UM PÁSSARO DA ESPÉCIE TRINCAFERRO ANILHADO;UM PÁSSARO DA ESPÉCIE TRINCAFERRO ANILHADO","Art.29, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal;Art.296,§1°,III, Código Penal"
