"UF","Cidade","Data","Dados da apreensão","Tipo penal"
"CE","Fortaleza",21/07/2015,"UMA ARARA VERMELHA","Art.29, Lei 9605/1998"
"AM","Tabatinga",23/07/2015,"2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.;2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.;2 (DOIS) PORCOS DO MATO E 1 (UMA) PACA.","Art.29,III, Lei 9605/1998;Art.334-A,§1°,II, Código Penal;Art.334-A,§3°, Código Penal"
"ES","São Mateus",03/08/2015,"01 (UM) ANIMAL SILVESTRE.;01 (UM) ANIMAL SILVESTRE.;01 (UM) ANIMAL SILVESTRE.","Art.14, Lei 10826/2003;Art.29,§4°,V, Lei 9605/1998;Art.52, Lei 9605/1998"
"RR","Pacaraima",07/08/2015,"UM CASAL DE IGUANAS.","Art.29, Lei 9605/1998"
"DF","Brasília",19/08/2015,"09(NOVE) PÁSSAROS SILVESTRES DISCRIMINADOS EM TERMO DE APREENSÃO  Nº 643353 DO IBAMA, TODOS RECOLHIDOS  E ENCMAINHADOS PARA DESTINAÇÃO CONFORME NORMAS PERTINENTES.","Art.29, Lei 9605/1998"
"SP","São José dos Campos",19/08/2015,"TRÊS AVES DA ESPÉCIE SALTATOR SIMILIS (""TRINCA-FERRO""), COM ANILHAS NºS:  IBAMA05-06 3,5 136581;  SVP 347 25 05 95 E SVP 048 26 95 5, RESPECTIVAMENTE, EM SUAS RESPECTIVAS GAIOLAS.;TRÊS AVES DA ESPÉCIE SALTATOR SIMILIS (""TRINCA-FERRO""), COM ANILHAS NºS:  IBAMA05-06 3,5 136581;  SVP 347 25 05 95 E SVP 048 26 95 5, RESPECTIVAMENTE, EM SUAS RESPECTIVAS GAIOLAS.","Art.29,§1°,III, Lei 9605/1998;Art.296,§1°,I, Código Penal"
"AM","Tabatinga",28/08/2015,"200 (DUZENTOS) PEIXES BODÓ, SENDO 160 (CENTO E SESSENTA) DA ESPÉCIE ZEBRA E 40 (QUARENTA) DA ESPÉCIE TUBARÃO.;200 (DUZENTOS) PEIXES BODÓ, SENDO 160 (CENTO E SESSENTA) DA ESPÉCIE ZEBRA E 40 (QUARENTA) DA ESPÉCIE TUBARÃO.;200 (DUZENTOS) PEIXES BODÓ, SENDO 160 (CENTO E SESSENTA) DA ESPÉCIE ZEBRA E 40 (QUARENTA) DA ESPÉCIE TUBARÃO.","Art.14,II, Código Penal;Art.334-A,§1°,II, Código Penal;Art.34,III, Lei 9605/1998"
"MT","Cuiabá",01/09/2015,"CASCO DE TATU SILVESTRE","Art.29, Lei 9605/1998"
"RJ","Nova Iguacu",03/09/2015,"PÁSSAROS VERDES APARENTEMENTE DA ESPÉCIE CONHECIDA COMO ´´MARITACA´´","Art.29, Lei 9605/1998"
"RS","Santana do Livramento",04/09/2015,"10 MORCEGOS MORTOS E EMBALADOS INDIVIDUALMENTE, DE ORIGEM PROVÁVEL DA INDONÉSIA;250 BORBOLETAS MORTAS E EMBALADAS INDIVIDUALMENTE, DE ORIGEM PROVÁVEL DO PERU E MALÁSIA;30 GAFANHOTOS MORTOS E EMBALADAS INDIVIDUALMENTE, DE ORIGEM PROVÁVEL DO PERU E MALÁSIA","Art.31, Lei 9605/1998;Art.31, Lei 9605/1998;Art.31, Lei 9605/1998"
